Abbrv.	Lat	Long	Rating	Number_Of_Reviews
RRIRNCMPNCA                    	-78.6742462	35.8359681	3.8	255
CIRM                    	-78.6239893	35.82442	4.3	573
ESARNRWTD                    	-78.6252349	35.8258493	3.2	616
HGIRCV                    	-78.6732186	35.8355095	4.5	1238
HISRCV                    	-78.67279529999999	35.836209	4.4	1169
FISRCV                    	-78.67505950000002	35.8339781	4.2	553
DTHRM                    	-78.6013598	35.817771	3.9	375
QISRN                    	-78.6022438	35.8121589	3.4	613
SWRNE                    	-78.5849331	35.8327247	3.4	667
MRNCN                    	-78.6025758	35.8139777	2.8	902
SSN                    	-78.59423679999999	35.8178132	2.0	33
CPRM                    	-78.5949172	35.8187599	2.6	239
HRNH                    	-78.620342	35.8297832	4.0	2920
LQISWRDN                    	-78.5972477	35.8162292	4.2	535
HSHRCV                    	-78.68052809999999	35.8361959	4.0	909
CRM                    	-78.62311439999999	35.8237871	4.2	676
ESARNR                    	-78.6259666	35.8265131	3.9	212
DTHRCV                    	-78.67070729999999	35.8370752	4.1	1083
RRNHH                    	-78.6437066	35.83618790000001	4.4	1051
HIERNEM                    	-78.57842420000001	35.7963118	4.1	543
MSSRN                    	-78.60108939999999	35.8113539	2.8	36
RIRCV                    	-78.6753166	35.8346649	4.4	503
HHRNH                    	-78.6381078	35.8365718	4.5	786
RMCV                    	-78.6779102	35.8426963	4.4	1690
DIWRM                    	-78.6213702	35.8264496	3.7	971
ACHRNH                    	-78.6402719	35.8381914	4.3	498
LQISWRC                    	-78.6760812	35.8334979	3.4	1308
HISRM                    	-78.6188775	35.8221637	4.6	321
MISWR                    	-78.5768645	35.7969224	2.6	797
ESHRC                    	-78.679306	35.8447113	4.3	1740
CSRCIHGH                    	-78.674699	35.84063	4.2	579
CSRWC                    	-78.5692049	35.79786780000001	4.2	478
CRCV                    	-78.67379559999999	35.8350988	4.1	332
